id,sender,height,amount,claim_action
128,evmos14n7zclk58ftg5ded7yk2fc8whfgp3g40jwl25m,267385,13411813727790017066aevmos,ACTION_EVM
129,evmos1ngmupqpyunxk7tuph027v3zg9hru9vxzmcdncq,267387,3927891902386982535aevmos,ACTION_DELEGATE
130,evmos1wekag30xyz8mk29cvxsn4tly7378m86e4hgeqg,267388,5050770624884659048aevmos,ACTION_DELEGATE
131,evmos1jh6vawjpj4drz6edc0689ylycau8hw4a2ksr00,267392,13366204826004693455aevmos,ACTION_VOTE
132,evmos1vc7ghzf0magccpjhn3l4pha5e9493umz5j6tf8,266401,33300664401600629969aevmos,ACTION_VOTE
133,evmos1mhj44mrfsa7npsrsj99upwdt760zppwvgpgqws,266402,1393707695462373997aevmos,ACTION_DELEGATE
134,evmos12x3mmat3nw56lh3esxg0zegrt9dqsw0h4f5h4u,266404,1393702085045973634aevmos,ACTION_DELEGATE
135,evmos1k7q03c3uxd3lmgy7usw9lmdly2l5t8nnsphqpl,266407,4415434487625351054aevmos,ACTION_VOTE
136,evmos1vj72uee063leg7t6jxk6ewqmkkmhahfpnk4zqr,266407,1393696045988531673aevmos,ACTION_DELEGATE
137,evmos1rj7frhwvrpgtze4k3jsndlty7c64enewr48u6h,266410,1393690102449373718aevmos,ACTION_DELEGATE
138,evmos14ch24a6jaghgmhchnj6arjnfy78653mmfsx03v,266410,1393690102449373718aevmos,ACTION_DELEGATE
139,evmos1tc0mh5d8g3mwzctydk4k74gpg2eejd0h2vvaam,266412,5691084384584086721aevmos,ACTION_EVM
140,evmos1sqmplgf2dsw6t38zvankfjjjmzrvms5s7zjk6d,266417,6420432562005384125aevmos,ACTION_VOTE
141,evmos1g074d53my9uxj48v6esqf6uc9sfmtdtmk6qa77,266417,1393676183016992498aevmos,ACTION_DELEGATE
142,evmos12gavm72gx3jvtssfg2aktlyt5yl3c4t0tjkjja,266419,4693203865221522171aevmos,ACTION_VOTE
143,evmos1677avas3e2ln3trvlryvsgerwdpgs8dq7cck5a,266419,1393672150699824036aevmos,ACTION_DELEGATE
144,evmos1asaawjdx9h3lfdlqg0vglyc3ud2ph89zd7yy7h,266421,1393668145163231562aevmos,ACTION_DELEGATE
145,evmos16nxa0h8chnqrslan96kkujwv587z0qxecwp4eg,266423,1393664203828301721aevmos,ACTION_DELEGATE
146,evmos17wu99rd7c2qu25jz73p5vu5nhsyqmpe60ahuqp,266426,4900615260598063806aevmos,ACTION_VOTE
147,evmos1s9sge4rmlmec0r26wkqflhc7c7wngjh5evlhzn,266426,1393658286636626511aevmos,ACTION_DELEGATE
