id,recipient,height,claimed_coins,fund_community_pool_coins
177,evmos1q4phpl3da6xg4a08nxg65sh53rvxmt8fwdpqr4,274632,143347505963601707044aevmos,40182510370569764828aevmos
178,evmos1qaptgsnevrsexknfj4k3dtjwwa8c3rkwng4zjh,274632,108887307196178791557aevmos,30522786714858139259aevmos
179,evmos156r2mhuycy67q7x8eytm5g9j6znnwd63x6g2pk,274645,307679732256122578091aevmos,86254742785366875477aevmos
180,evmos129x58lcp7a2lfk9zt5n0rjwudustpsj79h7je5,274658,143341931149562929536aevmos,40188085184608542336aevmos
181,evmos1jxyerkhzjl2np3zc98depvz8t6utse62qvlm37,274658,143341931149562929536aevmos,40188085184608542336aevmos
182,evmos1tp7kllmt3vfktr996u9m56lc79qhqs8n30zv0e,274658,232126749735199761796aevmos,65080256120248042876aevmos
183,evmos1v7cq6mdwvvt2szv40z60z0tv9gs5uxe32z6l2a,274658,449270611554601615344aevmos,125959832292607967248aevmos
184,evmos1qta3d9qkelrrhtjcg6gdhdj0f6wc6rzjydyy7u,274658,110259696730566652856aevmos,30912978840878604872aevmos
185,evmos1a3aukjpjrerp49apkdj43lkq2sj8082c7zcc7t,274658,405566514353881781148aevmos,113706725562893757540aevmos
186,evmos1gm262a90gsrgrsc09ydhqs2kwy4ljsyxx2g2vd,274658,143341931149562929536aevmos,40188085184608542336aevmos
187,evmos1rhe9xh8sj44tassuguu9xjy96wzf6etcmuv45g,274659,143341721673380431324aevmos,40188294660791040548aevmos
188,evmos1g7mvhgk2n6tsvp2cyd4km43efve8t8m4zsphcn,274659,262224199996110295312aevmos,73519023586493771504aevmos
189,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274659,143341721673380431324aevmos,40188294660791040548aevmos
190,evmos1sls2xp05wl06w7nlwhtegsfz39afz77y0ugn6c,274659,220563590393489673553aevmos,61838761657777020079aevmos
191,evmos1zy67d3qxl2rp5sfa207nhrtwgdrk0mgke5l2r0,274659,143341721673380431324aevmos,40188294660791040548aevmos
192,evmos1lf3y8r5kf249ywy2tqk0a7uspydz3y9q2dp2vq,274660,136375435481386853696aevmos,38235635421145258688aevmos
193,evmos1yfxuhp67axgzykqztmnm76wpu3tg9a03ap2wn0,274660,108882627941909015414aevmos,30527465969127915402aevmos
194,evmos1nuhwmct0xsc0h9h4pyszeykx9zlmt3nszv4gtm,274660,143341345838545685056aevmos,40188670495625786816aevmos
195,evmos1tf87w3vkyp5jkje0vlnwhzpgqp496t0xp54wva,274660,152705611691035567617aevmos,42814133460115101183aevmos
196,evmos1ep66zk2kkjj8er590ywe3y2h0mk8v27z0gsmx6,274660,146094582964545188301aevmos,40960596690442937395aevmos
197,evmos19l22sh5utp5lhv763anlad09f7nunvyef4ef5z,274662,143340921031234359052aevmos,40189095302937112820aevmos
198,evmos133rad5dl2puwwuuyy9k07w3a6m8k7e8lee6ulg,274662,416469968531289100806aevmos,116767432047321937402aevmos
199,evmos1n9rf0vxhpvpduq833sk7vpxpehcc8vw9yndrns,274662,37211844741052936214aevmos,10433241002898258666aevmos
200,evmos1pcgr0tqs0y8c298h2s8qtn9wd7w5rus4ww8zwc,274662,143340921031234359052aevmos,40189095302937112820aevmos
201,evmos1vq8e4wcjs729804j69234gan2r8u04vuk0xrae,274662,143340921031234359052aevmos,40189095302937112820aevmos
202,evmos1a879j86yewnr8t5wmx7ulztck2gmhc342n8ekr,274662,143340921031234359052aevmos,40189095302937112820aevmos
203,evmos1lh9xzrm0h7jdcqevh25h8fcpqahzxccx2s4lpu,274662,143340921031234359052aevmos,40189095302937112820aevmos
204,evmos1lmn0sz0snxu3vwd8qu9np2408azaxy72ewar30,274662,143340921031234359052aevmos,40189095302937112820aevmos
205,evmos1fkxnfsr6mpxnl78ddg2vq8mkltpddrue5zx3yf,274662,108882305256670115740aevmos,30527788654366815076aevmos
206,evmos1sxm24jf56zhstk6spfd27gjz0urwm8wzyf352n,274662,310220806245114437380aevmos,86977908732860685052aevmos
207,evmos1f4y3wtk3pcdg555yaulujudu7xf7tn7d59jz7k,274664,37211734488285243334aevmos,10433351255665951546aevmos
208,evmos1mvhktdw2elhgqdl84aynvv5yqftmsgc86eptx9,274664,143340496334921200864aevmos,40189519999250271008aevmos
209,evmos1rcx55y9r62ewlj4nhkv05prtmasn94nk9xqqr7,274664,107505372251190900648aevmos,30142139999437703256aevmos
210,evmos17d9fkx2jsfywckuqgft33jmqge4f44l8s3g7xx,274666,35835007901643097443aevmos,10047496181899770525aevmos
211,evmos1t9lla4a6en8a0e3nzk5fz2mupwzztrqyrspzg4,274668,37211505998786960281aevmos,10433579745164234599aevmos
